,date,demand
875,2017-05-25,124010.03
876,2017-05-26,123130.60000000006
877,2017-05-27,104643.67499999996
878,2017-05-28,110029.55
879,2017-05-29,130516.10000000006
880,2017-05-30,132762.38
881,2017-05-31,139030.79499999998
882,2017-06-01,140202.735
883,2017-06-02,136856.80000000002
884,2017-06-03,122161.405
885,2017-06-04,118953.95
886,2017-06-05,132877.44999999995
887,2017-06-06,133274.53
888,2017-06-07,136116.12
889,2017-06-08,139511.78000000006
890,2017-06-09,130994.54
891,2017-06-10,120698.91499999998
892,2017-06-11,113374.465
893,2017-06-12,117691.68499999998
894,2017-06-13,135184.95
895,2017-06-14,136253.42
896,2017-06-15,135303.25500000006
897,2017-06-16,135269.63499999998
898,2017-06-17,121178.67999999992
899,2017-06-18,116112.74000000002
900,2017-06-19,134925.74
901,2017-06-20,131996.96999999994
902,2017-06-21,139814.30000000002
903,2017-06-22,140348.57
904,2017-06-23,132029.57499999998
905,2017-06-24,122393.325
906,2017-06-25,118103.865
907,2017-06-26,138040.37999999998
908,2017-06-27,144526.62999999998
909,2017-06-28,141351.895
910,2017-06-29,138124.06000000006
911,2017-06-30,139275.77500000002
912,2017-07-01,125949.49999999994
913,2017-07-02,120137.45
914,2017-07-03,139765.32
915,2017-07-04,134029.805
916,2017-07-05,134084.665
917,2017-07-06,137899.71499999994
918,2017-07-07,134078.06999999998
919,2017-07-08,123687.97
920,2017-07-09,116064.03
921,2017-07-10,133132.32499999998
922,2017-07-11,137352.78
923,2017-07-12,138152.10499999998
924,2017-07-13,134622.38999999998
925,2017-07-14,131387.745
926,2017-07-15,124486.69500000002
927,2017-07-16,119927.64
928,2017-07-17,131868.24
929,2017-07-18,136121.83500000002
930,2017-07-19,133906.25999999998
931,2017-07-20,139316.28999999998
932,2017-07-21,140073.895
933,2017-07-22,122397.13
934,2017-07-23,118007.66500000002
935,2017-07-24,136330.59
936,2017-07-25,129699.26500000006
937,2017-07-26,133198.34
938,2017-07-27,136003.915
939,2017-07-28,130432.05000000006
940,2017-07-29,111331.23500000004
941,2017-07-30,107580.495
942,2017-07-31,132276.88000000006
943,2017-08-01,137617.88000000006
944,2017-08-02,140729.185
945,2017-08-03,151355.4299999999
946,2017-08-04,141647.895
947,2017-08-05,116696.45499999994
948,2017-08-06,117351.13999999994
949,2017-08-07,138963.17500000002
950,2017-08-08,139108.43499999994
951,2017-08-09,130044.37500000006
952,2017-08-10,122361.92500000006
953,2017-08-11,122862.34500000002
954,2017-08-12,113669.45
955,2017-08-13,106274.56
956,2017-08-14,121533.955
957,2017-08-15,127193.30000000006
958,2017-08-16,121445.38000000002
959,2017-08-17,129223.80499999998
960,2017-08-18,133562.985
961,2017-08-19,124852.67
962,2017-08-20,119798.99499999994
963,2017-08-21,140410.295
964,2017-08-22,133809.45500000002
965,2017-08-23,133056.82
966,2017-08-24,135619.93999999994
967,2017-08-25,133666.57499999995
968,2017-08-26,117444.10000000002
969,2017-08-27,115177.935
970,2017-08-28,139414.49500000002
971,2017-08-29,139814.04
972,2017-08-30,137513.46499999994
973,2017-08-31,133982.25499999998
974,2017-09-01,128707.425
975,2017-09-02,114098.115
976,2017-09-03,103964.33
977,2017-09-04,128001.055
978,2017-09-05,137696.66999999995
979,2017-09-06,134819.94499999998
980,2017-09-07,133405.71999999994
981,2017-09-08,132543.09999999995
982,2017-09-09,120454.01
983,2017-09-10,114584.065
984,2017-09-11,127169.03
985,2017-09-12,130906.89
986,2017-09-13,127192.315
987,2017-09-14,131986.8049999999
988,2017-09-15,128761.60499999998
989,2017-09-16,111301.56
990,2017-09-17,104766.0
991,2017-09-18,115123.54
992,2017-09-19,124033.95500000002
993,2017-09-20,123461.38
994,2017-09-21,119309.93
995,2017-09-22,116611.25
996,2017-09-23,101012.28999999996
997,2017-09-24,92608.24000000002
998,2017-09-25,119126.485
999,2017-09-26,124452.94000000002
1000,2017-09-27,119028.07
1001,2017-09-28,116655.85499999998
1002,2017-09-29,102847.25500000002
1003,2017-09-30,100701.82000000002
1004,2017-10-01,103556.74
1005,2017-10-02,119226.42000000006
1006,2017-10-03,118856.415
1007,2017-10-04,114604.62
1008,2017-10-05,113134.57999999994
1009,2017-10-06,118359.28
1010,2017-10-07,101974.595
1011,2017-10-08,97053.54500000004
1012,2017-10-09,111432.365
1013,2017-10-10,116556.425
1014,2017-10-11,114133.53999999994
1015,2017-10-12,113957.73500000002
1016,2017-10-13,117048.725
1017,2017-10-14,102037.165
1018,2017-10-15,98108.81500000002
1019,2017-10-16,115907.39500000002
1020,2017-10-17,117470.21999999994
1021,2017-10-18,121087.09999999998
1022,2017-10-19,118201.175
1023,2017-10-20,108412.66500000002
1024,2017-10-21,102195.97500000002
1025,2017-10-22,100571.03999999996
1026,2017-10-23,115549.43499999998
1027,2017-10-24,118010.31
1028,2017-10-25,115813.02999999994
1029,2017-10-26,117333.445
1030,2017-10-27,112633.265
1031,2017-10-28,100746.41999999995
